glyph,certainty,min_x,min_y,max_x,max_y,image_path
Ν,0.13779230061296893,155,25,298,137,BNU_Pgr1242_r.jpg
Ν,0.11918764394829791,274,34,402,128,BNU_Pgr1242_r.jpg
Ν,0.23866246753089546,389,37,524,130,BNU_Pgr1242_r.jpg
Ν,0.15922510985447116,514,33,653,140,BNU_Pgr1242_r.jpg
Ν,0.11816564032347068,640,35,761,144,BNU_Pgr1242_r.jpg
Ν,0.11594679337631174,117,178,249,281,BNU_Pgr1242_r.jpg
Ν,0.16106634931319574,231,187,322,278,BNU_Pgr1242_r.jpg
Ν,0.14597868601483488,258,185,408,281,BNU_Pgr1242_r.jpg
Ν,0.19041105316521173,383,185,522,288,BNU_Pgr1242_r.jpg
Ν,0.1596773756092754,506,168,700,295,BNU_Pgr1242_r.jpg
Ν,0.15099102700025913,614,178,771,291,BNU_Pgr1242_r.jpg
Ο,0.2642190245109439,69,339,162,433,BNU_Pgr1242_r.jpg
Ι,0.1507985102227989,152,339,246,441,BNU_Pgr1242_r.jpg
Ν,0.1385748659730421,234,339,374,447,BNU_Pgr1242_r.jpg
Ν,0.12270544594685535,439,349,630,474,BNU_Pgr1242_r.jpg
Τ,0.1140628863533589,57,485,135,576,BNU_Pgr1242_r.jpg
Ν,0.12194024784043456,110,499,196,589,BNU_Pgr1242_r.jpg
Δ,0.12283972225277957,177,498,307,590,BNU_Pgr1242_r.jpg
Ν,0.1467737398052704,284,504,376,584,BNU_Pgr1242_r.jpg
Ν,0.14967906342329437,361,503,464,596,BNU_Pgr1242_r.jpg
Ν,0.17087490763013685,443,509,555,606,BNU_Pgr1242_r.jpg
Ν,0.16488964244563106,507,514,639,607,BNU_Pgr1242_r.jpg
Ν,0.1392650898265054,632,517,749,609,BNU_Pgr1242_r.jpg
Ν,0.11941692848082855,32,629,119,733,BNU_Pgr1242_r.jpg
Ν,0.14990841845859057,108,627,223,718,BNU_Pgr1242_r.jpg
Ϲ,0.44228348389493816,212,631,287,709,BNU_Pgr1242_r.jpg
Ν,0.17029998658544035,273,638,349,717,BNU_Pgr1242_r.jpg
Ν,0.17546706601823378,329,629,441,759,BNU_Pgr1242_r.jpg
Ϲ,0.5533734141756834,430,648,508,731,BNU_Pgr1242_r.jpg
Ν,0.17754720197488028,493,648,607,740,BNU_Pgr1242_r.jpg
Ν,0.14265817967195768,614,657,718,753,BNU_Pgr1242_r.jpg
Ν,0.12776519375273537,700,653,789,750,BNU_Pgr1242_r.jpg
Ν,0.1821588638504065,160,778,293,876,BNU_Pgr1242_r.jpg
Ν,0.1922942327801394,280,770,385,886,BNU_Pgr1242_r.jpg
Α,0.29123736179555937,356,784,491,892,BNU_Pgr1242_r.jpg
Ν,0.13900501039859808,470,785,552,891,BNU_Pgr1242_r.jpg
Υ,0.19363640163931703,521,790,633,920,BNU_Pgr1242_r.jpg
Γ,0.1296418475368358,619,797,735,896,BNU_Pgr1242_r.jpg
Υ,0.2868355869475364,252,936,361,1070,BNU_Pgr1242_r.jpg
Λ,0.25456006009023185,344,948,436,1039,BNU_Pgr1242_r.jpg
Ο,0.32724686789573,422,957,501,1040,BNU_Pgr1242_r.jpg
Ν,0.17579793451439607,489,958,579,1045,BNU_Pgr1242_r.jpg
Ν,0.14855146559646645,564,946,657,1041,BNU_Pgr1242_r.jpg
Ϲ,0.51385879824432,283,1122,362,1202,BNU_Pgr1242_r.jpg
Ν,0.1432798972806495,359,1114,503,1210,BNU_Pgr1242_r.jpg
Ν,0.12243412592789935,491,1112,592,1201,BNU_Pgr1242_r.jpg
Ι,0.09088127810085209,577,1102,699,1214,BNU_Pgr1242_r.jpg
Ν,0.11768853710421226,14,1256,103,1360,BNU_Pgr1242_r.jpg
Ν,0.13982856648091396,107,1243,236,1352,BNU_Pgr1242_r.jpg
Ν,0.20814692642276006,230,1258,362,1368,BNU_Pgr1242_r.jpg
Ν,0.16175096109611944,354,1269,478,1397,BNU_Pgr1242_r.jpg
Ϲ,0.15892713796252306,461,1285,538,1377,BNU_Pgr1242_r.jpg
Ϲ,0.11072286586301436,526,1278,681,1377,BNU_Pgr1242_r.jpg
Ϲ,0.11877522356462022,24,1403,149,1507,BNU_Pgr1242_r.jpg
Ν,0.1409836188304611,139,1416,235,1502,BNU_Pgr1242_r.jpg
Ν,0.1687416536960258,230,1422,338,1515,BNU_Pgr1242_r.jpg
Ν,0.1339850047551427,323,1421,442,1534,BNU_Pgr1242_r.jpg
Ν,0.11785843458164236,425,1428,496,1518,BNU_Pgr1242_r.jpg
Ν,0.1802999541279609,485,1430,565,1505,BNU_Pgr1242_r.jpg
Ι,0.1244714548899889,545,1424,685,1502,BNU_Pgr1242_r.jpg
Ν,0.11785861215488977,623,1423,695,1500,BNU_Pgr1242_r.jpg
Ν,0.12468406419723181,685,1424,757,1494,BNU_Pgr1242_r.jpg
Α,0.11578797129249183,27,101,115,170,BNU_Pgr_2344fr46.png
Ν,0.16028267233184862,104,96,156,152,BNU_Pgr_2344fr46.png
Ν,0.15882725940943582,144,98,217,165,BNU_Pgr_2344fr46.png
Ν,0.14442973281014557,209,98,254,144,BNU_Pgr_2344fr46.png
Ϲ,0.15428479836350137,250,92,331,153,BNU_Pgr_2344fr46.png
Ο,0.5633546704034014,327,91,376,142,BNU_Pgr_2344fr46.png
Ϲ,0.4694572858857628,371,87,423,142,BNU_Pgr_2344fr46.png
Ν,0.15832635790506214,414,83,465,142,BNU_Pgr_2344fr46.png
Ν,0.17692114619399893,461,81,546,142,BNU_Pgr_2344fr46.png
Ϲ,0.2727603720559956,546,82,593,130,BNU_Pgr_2344fr46.png
Ν,0.13826317629814155,587,80,632,138,BNU_Pgr_2344fr46.png
Α,0.1173800778608672,28,216,89,277,BNU_Pgr_2344fr46.png
Ν,0.16908932038454377,81,216,146,278,BNU_Pgr_2344fr46.png
Ν,0.17446242468822365,122,214,218,277,BNU_Pgr_2344fr46.png
Ν,0.17563746910640227,209,212,254,267,BNU_Pgr_2344fr46.png
Ν,0.17262274782276824,245,204,325,286,BNU_Pgr_2344fr46.png
Ν,0.12303217173550514,320,203,376,261,BNU_Pgr_2344fr46.png
Ν,0.16514830537603675,376,207,476,280,BNU_Pgr_2344fr46.png
Ν,0.15727848342198242,468,206,507,273,BNU_Pgr_2344fr46.png
Ν,0.10395731018560689,501,197,605,265,BNU_Pgr_2344fr46.png
Τ,0.17628962942597978,75,335,135,396,BNU_Pgr_2344fr46.png
Ρ,0.27974265920990177,134,333,177,395,BNU_Pgr_2344fr46.png
Ι,0.18245531837617465,173,332,212,396,BNU_Pgr_2344fr46.png
Ν,0.14492559226790935,207,323,307,393,BNU_Pgr_2344fr46.png
Ι,0.11726426433795663,302,325,404,394,BNU_Pgr_2344fr46.png
Ν,0.12953832488915396,400,326,513,394,BNU_Pgr_2344fr46.png
Ν,0.12101498716159423,146,452,220,514,BNU_Pgr_2344fr46.png
Δ,0.10462763745461988,217,450,285,512,BNU_Pgr_2344fr46.png
Ι,0.14657620451456915,4325,670,4374,736,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.16664473949599726,4056,681,4109,729,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.337281311508166,4104,670,4165,728,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.15336642982519633,4164,675,4210,734,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.14955970344795283,4202,681,4254,736,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.1310559840669859,4251,683,4297,735,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.10821017380593734,1400,683,1439,733,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.1728335700463647,3014,689,3059,748,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.13685838613776433,3058,686,3119,747,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.1234261903797963,3115,684,3166,746,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.1837893277154014,3160,692,3197,749,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ε,0.33314904730037326,3192,694,3239,747,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.16042357711720445,3230,692,3278,747,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.14118675112539036,3300,689,3344,747,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.1296833206691789,3346,696,3392,747,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Τ,0.1421089228550065,3392,690,3466,750,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.2345470533459351,3463,691,3513,749,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.12214453654125983,3509,690,3567,747,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.11696474474194703,4388,742,4454,803,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.14716681875567555,4457,741,4498,793,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.1390835486772856,1164,743,1221,800,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.14577197063508382,1220,743,1267,802,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.1303331372888187,1261,744,1315,804,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
