glyph,certainty,min_x,min_y,max_x,max_y,image_path,line,number
Λ,0.40512608401432787,628,0,676,45,images\homer2\txt101\P_Oxy_3_551.jpg,0,0
Μ,0.6381894568177156,666,0,722,36,images\homer2\txt101\P_Oxy_3_551.jpg,0,1
Η,0.2654389475289468,709,0,759,36,images\homer2\txt101\P_Oxy_3_551.jpg,0,2
Ν,0.18812658049380798,759,0,804,30,images\homer2\txt101\P_Oxy_3_551.jpg,0,3
Δ,0.8655987627558441,1197,33,1232,90,images\homer2\txt101\P_Oxy_3_551.jpg,1,0
Ν,0.4221217534642685,1110,82,1153,132,images\homer2\txt101\P_Oxy_3_551.jpg,2,0
Ι,0.7273614393134759,1139,78,1172,125,images\homer2\txt101\P_Oxy_3_551.jpg,2,1
Ν,0.2191959535594316,1164,81,1199,131,images\homer2\txt101\P_Oxy_3_551.jpg,2,2
Π,0.3074699025509739,1190,70,1228,143,images\homer2\txt101\P_Oxy_3_551.jpg,2,3
Ι,0.96785669173575,1214,82,1242,134,images\homer2\txt101\P_Oxy_3_551.jpg,2,4
Ι,0.9169506020863265,1225,90,1243,127,images\homer2\txt101\P_Oxy_3_551.jpg,2,5
Φ,0.986568340657481,1242,71,1283,146,images\homer2\txt101\P_Oxy_3_551.jpg,2,6
Ι,0.9919428592201824,1277,91,1296,130,images\homer2\txt101\P_Oxy_3_551.jpg,2,7
Λ,0.6483472329240477,1292,87,1322,131,images\homer2\txt101\P_Oxy_3_551.jpg,2,8
Η,0.8461102858685396,1315,86,1358,148,images\homer2\txt101\P_Oxy_3_551.jpg,2,9
Ν,0.9948320100912156,1349,92,1390,133,images\homer2\txt101\P_Oxy_3_551.jpg,2,10
Η,0.5244772015895445,1386,92,1422,133,images\homer2\txt101\P_Oxy_3_551.jpg,2,11
Ι,0.8608063023358137,1415,88,1448,131,images\homer2\txt101\P_Oxy_3_551.jpg,2,12
Ν,0.9955985282078341,1439,92,1480,132,images\homer2\txt101\P_Oxy_3_551.jpg,2,13
Π,0.8033026231372429,1473,92,1512,131,images\homer2\txt101\P_Oxy_3_551.jpg,2,14
Ω,0.9920882172876473,1506,91,1547,130,images\homer2\txt101\P_Oxy_3_551.jpg,2,15
Ν,0.9971245933589642,1540,88,1580,130,images\homer2\txt101\P_Oxy_3_551.jpg,2,16
Ο,0.9893962989814734,1576,89,1611,128,images\homer2\txt101\P_Oxy_3_551.jpg,2,17
Ν,0.8718273730987979,1604,88,1643,128,images\homer2\txt101\P_Oxy_3_551.jpg,2,18
Ε,0.44591568354696853,1633,85,1670,128,images\homer2\txt101\P_Oxy_3_551.jpg,2,19
Η,0.5497899928507631,1663,86,1708,125,images\homer2\txt101\P_Oxy_3_551.jpg,2,20
Η,0.4323812486467883,1702,84,1742,122,images\homer2\txt101\P_Oxy_3_551.jpg,2,21
Η,0.41724547211817864,1732,82,1768,121,images\homer2\txt101\P_Oxy_3_551.jpg,2,22
Η,0.45389293074309744,1761,82,1792,120,images\homer2\txt101\P_Oxy_3_551.jpg,2,23
Ο,0.6994515152463814,1786,85,1817,121,images\homer2\txt101\P_Oxy_3_551.jpg,2,24
Μ,0.9959312620816895,1811,86,1852,122,images\homer2\txt101\P_Oxy_3_551.jpg,2,25
Ε,0.9259057381300777,1848,88,1881,122,images\homer2\txt101\P_Oxy_3_551.jpg,2,26
Ν,0.9968280863439395,1876,84,1918,121,images\homer2\txt101\P_Oxy_3_551.jpg,2,27
Ο,0.9922679809998846,1914,85,1945,120,images\homer2\txt101\P_Oxy_3_551.jpg,2,28
Ϲ,0.3880119664024439,1943,84,1975,120,images\homer2\txt101\P_Oxy_3_551.jpg,2,29
Λ,0.9261380458355026,1971,82,2005,122,images\homer2\txt101\P_Oxy_3_551.jpg,2,30
Ι,0.5487841226610259,1995,77,2030,121,images\homer2\txt101\P_Oxy_3_551.jpg,2,31
Ν,0.7763026856153636,2023,80,2057,123,images\homer2\txt101\P_Oxy_3_551.jpg,2,32
Ι,0.329027901716992,2049,86,2077,123,images\homer2\txt101\P_Oxy_3_551.jpg,2,33
Ι,0.24646862771728653,2072,88,2104,125,images\homer2\txt101\P_Oxy_3_551.jpg,2,34
Ο,0.455624250880408,37,86,70,122,images\homer2\txt101\P_Oxy_3_551.jpg,3,0
Ν,0.9957371555791202,63,87,102,126,images\homer2\txt101\P_Oxy_3_551.jpg,3,1
Θ,0.9905854578096259,99,90,136,127,images\homer2\txt101\P_Oxy_3_551.jpg,3,2
Ρ,0.7354097577571529,130,92,156,127,images\homer2\txt101\P_Oxy_3_551.jpg,3,3
Η,0.9920441772218421,150,90,186,127,images\homer2\txt101\P_Oxy_3_551.jpg,3,4
Ι,0.9736715141790744,183,92,206,128,images\homer2\txt101\P_Oxy_3_551.jpg,3,5
Κ,0.6826108323178128,204,92,240,126,images\homer2\txt101\P_Oxy_3_551.jpg,3,6
Ω,0.989627739715479,232,90,275,127,images\homer2\txt101\P_Oxy_3_551.jpg,3,7
Ν,0.9996875871332365,269,84,316,127,images\homer2\txt101\P_Oxy_3_551.jpg,3,8
Ο,0.991366267679079,313,86,351,124,images\homer2\txt101\P_Oxy_3_551.jpg,3,9
Ι,0.617169575039548,345,84,371,127,images\homer2\txt101\P_Oxy_3_551.jpg,3,10
Θ,0.5328510604365871,367,85,398,122,images\homer2\txt101\P_Oxy_3_551.jpg,3,11
Η,0.4251920642463175,391,81,419,121,images\homer2\txt101\P_Oxy_3_551.jpg,3,12
Ν,0.9962752694409109,413,81,451,120,images\homer2\txt101\P_Oxy_3_551.jpg,3,13
Ι,0.9513262622785786,447,81,465,122,images\homer2\txt101\P_Oxy_3_551.jpg,3,14
Μ,0.18042958746701762,458,67,497,127,images\homer2\txt101\P_Oxy_3_551.jpg,3,15
Η,0.3745966590490266,490,81,519,118,images\homer2\txt101\P_Oxy_3_551.jpg,3,16
Ε,0.6897122999333012,513,80,543,117,images\homer2\txt101\P_Oxy_3_551.jpg,3,17
Ν,0.9925102140095181,539,78,573,115,images\homer2\txt101\P_Oxy_3_551.jpg,3,18
Ι,0.22863030278587665,567,75,597,112,images\homer2\txt101\P_Oxy_3_551.jpg,3,19
Α,0.4817332862787056,588,71,619,111,images\homer2\txt101\P_Oxy_3_551.jpg,3,20
Ρ,0.7024555267896974,1111,143,1139,189,images\homer2\txt101\P_Oxy_3_551.jpg,4,0
Ι,0.9174061482299659,1133,144,1160,182,images\homer2\txt101\P_Oxy_3_551.jpg,4,1
Π,0.43263171235003206,1155,141,1194,180,images\homer2\txt101\P_Oxy_3_551.jpg,4,2
Ι,0.47878718994415626,1188,141,1221,182,images\homer2\txt101\P_Oxy_3_551.jpg,4,3
Α,0.35323079465399676,1216,146,1250,187,images\homer2\txt101\P_Oxy_3_551.jpg,4,4
Τ,0.6441452203955269,1240,151,1281,188,images\homer2\txt101\P_Oxy_3_551.jpg,4,5
Ω,0.9960486073592277,1275,154,1322,192,images\homer2\txt101\P_Oxy_3_551.jpg,4,6
Ν,0.9971196225558078,1315,155,1360,196,images\homer2\txt101\P_Oxy_3_551.jpg,4,7
Μ,0.24940978604128153,1354,156,1396,195,images\homer2\txt101\P_Oxy_3_551.jpg,4,8
Ι,0.8424421827170511,1389,151,1420,193,images\homer2\txt101\P_Oxy_3_551.jpg,4,9
Ι,0.8341859864105842,1407,153,1439,194,images\homer2\txt101\P_Oxy_3_551.jpg,4,10
Ι,0.645364756332003,1428,146,1467,196,images\homer2\txt101\P_Oxy_3_551.jpg,4,11
