glyph,certainty,min_x,min_y,max_x,max_y,image_path,line,number
Η,0.32365612583104375,461,77,494,121,images\homer2\txt101\P_Oxy_3_551.jpg,0,0
Ι,0.1823550396616428,489,81,520,119,images\homer2\txt101\P_Oxy_3_551.jpg,0,1
Η,0.638372701488957,512,80,543,116,images\homer2\txt101\P_Oxy_3_551.jpg,0,2
Ν,0.9741083378115419,538,78,573,114,images\homer2\txt101\P_Oxy_3_551.jpg,0,3
Ι,0.316614993818193,567,76,595,110,images\homer2\txt101\P_Oxy_3_551.jpg,0,4
Μ,0.4404114150624329,587,73,619,112,images\homer2\txt101\P_Oxy_3_551.jpg,0,5
Μ,0.8140399087170365,1970,79,2005,122,images\homer2\txt101\P_Oxy_3_551.jpg,1,0
Ι,0.2793792712264215,1996,76,2028,123,images\homer2\txt101\P_Oxy_3_551.jpg,1,1
Ω,0.7302114858695992,2020,79,2052,124,images\homer2\txt101\P_Oxy_3_551.jpg,1,2
Ν,0.5566208467823366,2046,84,2077,124,images\homer2\txt101\P_Oxy_3_551.jpg,1,3
Ρ,0.22502376310727276,2070,87,2102,125,images\homer2\txt101\P_Oxy_3_551.jpg,1,4
Ν,0.9861633499056209,1114,80,1156,131,images\homer2\txt101\P_Oxy_3_551.jpg,2,0
Η,0.5632677506327987,1160,77,1198,128,images\homer2\txt101\P_Oxy_3_551.jpg,2,1
Φ,0.947781142329672,1184,69,1230,143,images\homer2\txt101\P_Oxy_3_551.jpg,2,2
Φ,0.9611509566167191,1235,68,1282,149,images\homer2\txt101\P_Oxy_3_551.jpg,2,3
Ι,0.9240708851363699,1278,88,1297,133,images\homer2\txt101\P_Oxy_3_551.jpg,2,4
Μ,0.4292753409259493,1293,88,1324,131,images\homer2\txt101\P_Oxy_3_551.jpg,2,5
Η,0.43729126609819624,1315,80,1358,149,images\homer2\txt101\P_Oxy_3_551.jpg,2,6
Ν,0.983068194886588,1348,93,1391,134,images\homer2\txt101\P_Oxy_3_551.jpg,2,7
Η,0.7505108249344985,1385,92,1423,134,images\homer2\txt101\P_Oxy_3_551.jpg,2,8
Ι,0.3526945137738424,1415,89,1447,129,images\homer2\txt101\P_Oxy_3_551.jpg,2,9
Ν,0.9777585441317217,1440,89,1479,130,images\homer2\txt101\P_Oxy_3_551.jpg,2,10
Π,0.5352744152583461,1473,93,1511,131,images\homer2\txt101\P_Oxy_3_551.jpg,2,11
Ω,0.9904450495706777,1506,90,1547,128,images\homer2\txt101\P_Oxy_3_551.jpg,2,12
Ν,0.972083559947745,1540,89,1581,127,images\homer2\txt101\P_Oxy_3_551.jpg,2,13
Ω,0.5220047009503147,1576,88,1612,124,images\homer2\txt101\P_Oxy_3_551.jpg,2,14
Ν,0.4424460286357913,1606,89,1642,126,images\homer2\txt101\P_Oxy_3_551.jpg,2,15
Ω,0.5283699613127062,1634,87,1669,126,images\homer2\txt101\P_Oxy_3_551.jpg,2,16
Π,0.9795508997914855,1665,85,1707,125,images\homer2\txt101\P_Oxy_3_551.jpg,2,17
Ε,0.44252492843089714,1704,82,1737,122,images\homer2\txt101\P_Oxy_3_551.jpg,2,18
