"C:\Users\Carson Brown\.conda\envs\glyphs\python.exe" "C:/Users/Carson Brown/git/glyphs/src/main.py"
Using cache found in C:\Users\Carson Brown/.cache\torch\hub\pytorch_vision_v0.10.0
Starting...
Image input directory: dataset\glyphs\eval\raw
transform Compose(
Resize(size=240, interpolation=bilinear, max_size=None, antialias=None)
CenterCrop(size=(224, 224))
ToTensor()
Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)
Epoch, Precision, Recall, FScore
0, 0.017279464285714283, 0.097, 0.02633140080593638
1, 0.03511875, 0.1065, 0.03647254226251903
2, 0.08634091949716949, 0.1505, 0.08861351679366383
3, 0.17690979853479855, 0.251, 0.1840426739926739
4, 0.23138217199467193, 0.2965, 0.2257803030303031
5, 0.30746607142857146, 0.382, 0.31083832278832285
6, 0.3855079365079365, 0.47, 0.39901258741258727
7, 0.4164059523809524, 0.5055, 0.43299696969696977
8, 0.5226011904761904, 0.5765, 0.5207840548340547
9, 0.5423273809523809, 0.6045, 0.5476961399711402
10, 0.5775178571428569, 0.6005, 0.5609143217893219
11, 0.5876357142857144, 0.5835, 0.5562626984126984
12, 0.6064595238095237, 0.6205, 0.5838563852813853
13, 0.6489630952380951, 0.6445, 0.6195620851370852
14, 0.6823999999999998, 0.688, 0.6599925685425682
15, 0.6826833333333331, 0.679, 0.655244769119769
16, 0.7126916666666667, 0.697, 0.6817876984126987
17, 0.7710595238095235, 0.757, 0.742577597402597
18, 0.7618999999999998, 0.7565, 0.7384692640692635
19, 0.7797416666666664, 0.761, 0.7493481240981242
20, 0.7599999999999997, 0.7555, 0.7360023088023094
21, 0.7854416666666665, 0.749, 0.7452908730158733
22, 0.8071249999999998, 0.7585, 0.7592440476190474
23, 0.820091666666666, 0.7915, 0.7854761904761903
24, 0.8286999999999994, 0.8065, 0.7999480158730158
25, 0.8314416666666664, 0.807, 0.8003082611832608
26, 0.8371833333333332, 0.8125, 0.8074296897546892
27, 0.8385249999999996, 0.8165, 0.811503968253968
28, 0.8370916666666665, 0.812, 0.8074369047619049
29, 0.8417333333333332, 0.817, 0.8126575396825397
30, 0.8391749999999998, 0.8105, 0.807342388167388
31, 0.8325749999999998, 0.8055, 0.8008757936507938
32, 0.8448749999999998, 0.817, 0.8131476190476188
33, 0.8419833333333332, 0.813, 0.809902380952381
34, 0.8400333333333332, 0.8105, 0.8070654761904763
35, 0.8374333333333333, 0.8135, 0.8083880952380955
36, 0.8372166666666666, 0.8135, 0.8081650793650795
