glyph,certainty,min_x,min_y,max_x,max_y,image_path,line,number
Δ,0.9904545028205762,2012,59,2117,150,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,0,0
Θ,0.2814245533546685,944,111,1044,190,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,1,0
Α,0.9755111853839366,1035,107,1128,181,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,1,1
Τ,0.43730017373493046,1128,105,1203,180,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,1,2
Ε,0.7142552326564529,276,114,358,178,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,2,0
Α,0.5340886926980499,347,119,456,193,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,2,1
Ε,0.6607998900387722,441,114,520,187,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,2,2
Λ,0.9822864496703826,504,108,601,189,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,2,3
Τ,0.5931474381485355,589,124,747,190,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,2,4
Ι,0.6148147827957376,717,116,853,197,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,2,5
Ε,0.9976576391997527,1636,189,1725,265,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,3,0
Ν,0.9994957147599389,1712,187,1831,286,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,3,1
Ο,0.9957261449063438,1820,195,1909,269,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,3,2
Ϲ,0.9990601197865204,1909,185,2000,262,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,3,3
Γ,0.8360318023454907,1988,176,2068,246,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,3,4
Α,0.22271480001307553,2062,171,2145,239,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,3,5
Ϲ,0.2715817041850656,276,198,358,268,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,4,0
Ι,0.49107596619239363,341,214,418,301,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,4,1
Ϲ,0.8090588709211762,411,224,495,295,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,4,2
Τ,0.9978442566363966,478,220,601,313,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,4,3
Ε,0.9813418266460096,581,223,657,294,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,4,4
Φ,0.9923995841722661,643,188,768,318,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,4,5
Ε,0.997720741662987,756,218,858,289,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,4,6
Ε,0.9992082960907921,856,207,948,286,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,4,7
Ϲ,0.998154260262574,945,208,1035,283,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,4,8
Ε,0.9745028599462409,1029,206,1124,283,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,4,9
Ν,0.9997991193196138,1128,205,1244,297,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,4,10
Ο,0.9946440307986062,1235,201,1323,276,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,4,11
Ϲ,0.9986583860965432,1318,189,1410,272,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,4,12
Φ,0.9531207396077109,789,273,873,356,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,5,0
Ι,0.7164003324397539,9,353,85,444,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,0
Δ,0.9918075552641555,62,342,185,438,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,1
Ε,0.8868604176979988,178,347,272,422,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,2
Γ,0.3488803658813415,249,359,340,449,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,3
Α,0.9962101607893251,344,342,465,438,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,4
Μ,0.9319853350973035,445,329,596,425,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,5
Φ,0.9900805338644543,574,300,694,440,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,6
Τ,0.7146411744193032,675,336,756,420,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,7
Α,0.9931119873739405,731,344,818,417,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,8
Λ,0.9006880843991446,806,336,918,409,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,9
Ο,0.9907334043774043,904,322,991,402,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,10
Ν,0.9942102699716708,980,313,1111,415,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,11
Κ,0.9982165183566678,1128,311,1223,405,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,12
Υ,0.997056612995688,1194,317,1300,413,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,13
Ν,0.999851429318533,1283,304,1404,399,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,14
Ε,0.9450541984086382,1393,306,1488,383,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,15
Η,0.9992647887527967,1481,300,1594,396,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,16
Ν,0.986564692924859,1580,298,1712,380,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,17
Θ,0.9732461214570302,1705,296,1804,373,images\homer2\txt1\P.Corn.Inv.MSS.A.101.XIII.jpg,6,18
